2.8022 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
10.5770 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5778 	EXP 	Created text_number_a = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_number_a', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5785 	EXP 	Created text_item = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_item', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5795 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5802 	EXP 	Created textInput = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textInput', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5855 	EXP 	Created textPrompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textPrompt', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.5866 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5924 	EXP 	Created rest_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='rest_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.5931 	EXP 	Created text_number_b = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_number_b', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5939 	EXP 	Created textInput = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textInput', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5971 	EXP 	Created textPrompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='textPrompt', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.5982 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5989 	EXP 	Created text_item = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_item', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.5999 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.6045 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.6123 	EXP 	Imported items_noticias_2.xlsx as conditions, 32 conditions, 3 params
10.6130 	EXP 	Created sequence: random, trialTypes=32, nReps=1, seed=None
10.6132 	EXP 	New trial (rep=0, index=0): {'item_id': 17, 'item': '“El test PCR es eficaz para detectar el COVID-19”.', 'criteria': 1}
10.6168 	EXP 	New trial (rep=0, index=1): {'item_id': 29, 'item': '“Los síntomas de COVID-19 pueden persistir meses después de la infección inicial”.', 'criteria': 1}
10.6195 	EXP 	New trial (rep=0, index=2): {'item_id': 18, 'item': '“El COVID-19 está causado por un virus, no una bacteria”.', 'criteria': 1}
10.6224 	EXP 	New trial (rep=0, index=3): {'item_id': 28, 'item': '“La vía primaria de contagio de COVID-19 son las microgotas en el aire”.', 'criteria': 1}
10.6246 	EXP 	New trial (rep=0, index=4): {'item_id': 3, 'item': '“Las personas asintomáticas no contagian el COVID-19”.', 'criteria': 0}
10.6269 	EXP 	New trial (rep=0, index=5): {'item_id': 21, 'item': '“El COVID-19 es una enfermedad que puede afectar distintos órganos”.', 'criteria': 1}
10.6291 	EXP 	New trial (rep=0, index=6): {'item_id': 11, 'item': '“Los vacunados contra el COVID-19 no pueden donar sangre ni órganos”.', 'criteria': 0}
10.6313 	EXP 	New trial (rep=0, index=7): {'item_id': 23, 'item': '“La edad  es uno de los factores de riesgo principales ante el COVID-19”.', 'criteria': 1}
10.6335 	EXP 	New trial (rep=0, index=8): {'item_id': 14, 'item': '“El dióxido de cloro sirve para tratar a pacientes con COVID-19 positivo”.', 'criteria': 0}
10.6357 	EXP 	New trial (rep=0, index=9): {'item_id': 9, 'item': '“Las vacunas autorizadas contra el COVID-19 contienen grafeno”.', 'criteria': 0}
10.6378 	EXP 	New trial (rep=0, index=10): {'item_id': 7, 'item': '“Nuevo estudio muestra que el test PCR puede producir Alzheimer”.', 'criteria': 0}
10.6400 	EXP 	New trial (rep=0, index=11): {'item_id': 31, 'item': '“Síntomas comunes de COVID-19 incluyen fiebre, tos, fatiga y dificultad para respirar”. ', 'criteria': 1}
10.6421 	EXP 	New trial (rep=0, index=12): {'item_id': 22, 'item': '“El uso de mascarilla también reduce el riesgo de contraer influenza”. ', 'criteria': 1}
10.6444 	EXP 	New trial (rep=0, index=13): {'item_id': 16, 'item': '“Estudios científicos demuestran que las mascarillas son dañinas e inútiles”.', 'criteria': 0}
10.6465 	EXP 	New trial (rep=0, index=14): {'item_id': 13, 'item': '“La vacuna contra el COVID-19 modifica la estructura molecular de tu ADN”.', 'criteria': 0}
10.6487 	EXP 	New trial (rep=0, index=15): {'item_id': 19, 'item': '“Las mascarillas son efectivas para evitar el contagio de COVID-19”.', 'criteria': 1}
10.6511 	EXP 	New trial (rep=0, index=16): {'item_id': 26, 'item': '“Quienes se contagian de COVID-19 generan una respuesta inmune ante el virus”.', 'criteria': 1}
10.6534 	EXP 	New trial (rep=0, index=17): {'item_id': 4, 'item': '“CoronaVac es producida a partir de células de bebes abortados”.', 'criteria': 0}
10.6555 	EXP 	New trial (rep=0, index=18): {'item_id': 8, 'item': '“La luz de los termómetros para corporales puede lastimar la vista”.', 'criteria': 0}
10.6576 	EXP 	New trial (rep=0, index=19): {'item_id': 25, 'item': '“El aislamiento es una medida que permite reducir la cantidad de contagios”.', 'criteria': 1}
10.6597 	EXP 	New trial (rep=0, index=20): {'item_id': 10, 'item': '“El Coronavirus se transmite por las ondas electromagnéticas 5G”.', 'criteria': 0}
10.6619 	EXP 	New trial (rep=0, index=21): {'item_id': 6, 'item': '“La patente para testear el COVID-19 se registró en el año 2015”.', 'criteria': 0}
10.6640 	EXP 	New trial (rep=0, index=22): {'item_id': 32, 'item': '“Utilizar mascarilla disminuye en un 66% las probabilidades de contagiarse de COVID-19”.', 'criteria': 1}
10.6662 	EXP 	New trial (rep=0, index=23): {'item_id': 15, 'item': '“Los hisopos del test PCR están esterilizados con un poderoso cancerígeno”.', 'criteria': 0}
10.6683 	EXP 	New trial (rep=0, index=24): {'item_id': 2, 'item': '“La vacuna contra el COVID-19 puede causar infertilidad”.', 'criteria': 0}
10.6705 	EXP 	New trial (rep=0, index=25): {'item_id': 5, 'item': '“La vacuna contra el COVID-19 genera atracción magnética”.', 'criteria': 0}
10.6726 	EXP 	New trial (rep=0, index=26): {'item_id': 30, 'item': '“El COVID-19 se propaga más fácilmente vía contacto directo entre personas”.', 'criteria': 1}
10.6747 	EXP 	New trial (rep=0, index=27): {'item_id': 1, 'item': '“El test PCR no detecta la presencia de COVID-19”.', 'criteria': 0}
10.6769 	EXP 	New trial (rep=0, index=28): {'item_id': 12, 'item': '“El plan para la pandemia está diseñado desde 2017 en el Banco Mundial”.', 'criteria': 0}
10.6791 	EXP 	New trial (rep=0, index=29): {'item_id': 27, 'item': '“Las vacunas han sido altamente eficaces en disminuir las tasas de contagio”.', 'criteria': 1}
10.6813 	EXP 	New trial (rep=0, index=30): {'item_id': 24, 'item': '“El SARS-CoV-2 produce en algunos casos infección respiratoria aguda grave”.', 'criteria': 1}
10.6836 	EXP 	New trial (rep=0, index=31): {'item_id': 20, 'item': '“El uso de mascarillas ha sido clave en la prevención de la infección”.', 'criteria': 1}
10.7035 	WARNING 	t of last frame was 2234.70ms (=1/0)
10.7035 	EXP 	text: autoDraw = True
11.0512 	WARNING 	t of last frame was 26.84ms (=1/37)
11.4681 	WARNING 	t of last frame was 26.69ms (=1/37)
11.5517 	WARNING 	t of last frame was 28.40ms (=1/35)
11.9687 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
12.4044 	DATA 	Keypress: return
12.4099 	EXP 	text: autoDraw = False
12.4099 	EXP 	text_2: autoDraw = True
12.9064 	EXP 	Imported conditionsAB.xlsx as conditions, 3 conditions, 3 params
12.9072 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
12.9077 	EXP 	New trial (rep=0, index=0): {'nRepsTask1': 16, 'nRepsTask2': 0, 'nRepsTask3': 0}
12.9081 	EXP 	Created sequence: sequential, trialTypes=1, nReps=16, seed=None
12.9084 	EXP 	New trial (rep=0, index=0): None
12.9340 	EXP 	text_2: autoDraw = False
12.9340 	EXP 	text_number_a: height = 0.05
12.9340 	EXP 	text_number_a: height = 0.05
12.9340 	EXP 	text_number_a: height = 0.05
12.9340 	EXP 	text_number_a: text = 'Recuerda este número: 39541 \n \n Presiona ENTER para continuar.'
12.9340 	EXP 	text_number_a: autoDraw = True
14.1243 	DATA 	Keypress: return
14.1290 	EXP 	text_number_a: autoDraw = False
14.1290 	EXP 	text_item: height = 0.05
14.1290 	EXP 	text_item: height = 0.05
14.1290 	EXP 	text_item: height = 0.05
14.1290 	EXP 	text_item: text = "“El uso de mascarilla también reduce el riesgo de contraer influenza”.  \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
14.1290 	EXP 	text_item: autoDraw = True
15.6769 	DATA 	Keypress: q
15.6829 	EXP 	text_item: autoDraw = False
15.6829 	EXP 	text_2: autoDraw = True
16.1820 	EXP 	text_2: autoDraw = False
16.1820 	EXP 	textInput: autoDraw = True
16.1820 	EXP 	textPrompt: autoDraw = True
16.1820 	EXP 	textInput: height = 0.05
16.1820 	EXP 	textInput: height = 0.05
16.1820 	EXP 	textInput: height = 0.05
16.1820 	EXP 	textInput: text = ''
17.6185 	DATA 	Keypress: 1
17.6864 	DATA 	Keypress: 2
17.9791 	DATA 	Keypress: 4
18.2074 	DATA 	Keypress: 2
18.2244 	DATA 	Keypress: 1
18.4064 	DATA 	Keypress: 4
18.4223 	DATA 	Keypress: 1
18.4375 	DATA 	Keypress: 2
18.5617 	DATA 	Keypress: 4
18.6041 	DATA 	Keypress: 1
18.6187 	DATA 	Keypress: 2
18.9245 	DATA 	Keypress: return
18.9287 	EXP 	textInput: autoDraw = False
18.9287 	EXP 	textPrompt: autoDraw = False
18.9287 	EXP 	text_2: autoDraw = True
19.4244 	EXP 	New trial (rep=1, index=0): None
19.4520 	EXP 	text_2: autoDraw = False
19.4520 	EXP 	text_2: autoDraw = False
19.4520 	EXP 	text_number_a: height = 0.05
19.4520 	EXP 	text_number_a: height = 0.05
19.4520 	EXP 	text_number_a: height = 0.05
19.4520 	EXP 	text_number_a: text = 'Recuerda este número: 18967 \n \n Presiona ENTER para continuar.'
19.4520 	EXP 	text_number_a: autoDraw = True
20.3242 	DATA 	Keypress: return
20.3675 	EXP 	text_number_a: autoDraw = False
20.3675 	EXP 	text_item: height = 0.05
20.3675 	EXP 	text_item: height = 0.05
20.3675 	EXP 	text_item: height = 0.05
20.3675 	EXP 	text_item: text = "“Síntomas comunes de COVID-19 incluyen fiebre, tos, fatiga y dificultad para respirar”.  \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
20.3675 	EXP 	text_item: autoDraw = True
21.6806 	DATA 	Keypress: q
21.6853 	EXP 	text_item: autoDraw = False
21.6853 	EXP 	text_2: autoDraw = True
22.1849 	EXP 	text_2: autoDraw = False
22.1849 	EXP 	text_2: autoDraw = False
22.1849 	EXP 	textInput: autoDraw = True
22.1849 	EXP 	textPrompt: autoDraw = True
22.7876 	DATA 	Keypress: 1
23.0311 	DATA 	Keypress: 3
23.0691 	DATA 	Keypress: 2
23.2975 	DATA 	Keypress: 4
23.3349 	DATA 	Keypress: 1
23.4949 	DATA 	Keypress: 4
23.5366 	DATA 	Keypress: 2
23.6934 	DATA 	Keypress: 2
23.9905 	DATA 	Keypress: return
23.9948 	EXP 	textInput: autoDraw = False
23.9948 	EXP 	textPrompt: autoDraw = False
23.9948 	EXP 	text_2: autoDraw = True
24.4859 	EXP 	New trial (rep=2, index=0): None
24.5079 	EXP 	text_2: autoDraw = False
24.5079 	EXP 	text_number_a: height = 0.05
24.5079 	EXP 	text_number_a: height = 0.05
24.5079 	EXP 	text_number_a: height = 0.05
24.5079 	EXP 	text_number_a: text = 'Recuerda este número: 27614 \n \n Presiona ENTER para continuar.'
24.5079 	EXP 	text_number_a: autoDraw = True
25.4889 	DATA 	Keypress: return
25.4937 	EXP 	text_number_a: autoDraw = False
25.4937 	EXP 	text_item: height = 0.05
25.4937 	EXP 	text_item: height = 0.05
25.4937 	EXP 	text_item: height = 0.05
25.4937 	EXP 	text_item: text = "“El COVID-19 se propaga más fácilmente vía contacto directo entre personas”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
25.4937 	EXP 	text_item: autoDraw = True
26.5869 	DATA 	Keypress: q
26.5918 	EXP 	text_item: autoDraw = False
26.5918 	EXP 	text_2: autoDraw = True
27.0921 	EXP 	text_2: autoDraw = False
27.0921 	EXP 	textInput: autoDraw = True
27.0921 	EXP 	textPrompt: autoDraw = True
28.1597 	DATA 	Keypress: 1
28.2058 	DATA 	Keypress: 2
28.3107 	DATA 	Keypress: 3
28.4896 	DATA 	Keypress: 1
28.5103 	DATA 	Keypress: 2
28.5438 	DATA 	Keypress: 3
28.6631 	DATA 	Keypress: 3
28.7464 	DATA 	Keypress: 1
28.7616 	DATA 	Keypress: 2
29.0731 	DATA 	Keypress: return
29.0773 	EXP 	textInput: autoDraw = False
29.0773 	EXP 	textPrompt: autoDraw = False
29.0773 	EXP 	text_2: autoDraw = True
29.5696 	EXP 	New trial (rep=3, index=0): None
29.5889 	EXP 	text_2: autoDraw = False
29.5889 	EXP 	text_number_a: height = 0.05
29.5889 	EXP 	text_number_a: height = 0.05
29.5889 	EXP 	text_number_a: height = 0.05
29.5889 	EXP 	text_number_a: text = 'Recuerda este número: 84162 \n \n Presiona ENTER para continuar.'
29.5889 	EXP 	text_number_a: autoDraw = True
31.7235 	DATA 	Keypress: return
31.7282 	EXP 	text_number_a: autoDraw = False
31.7282 	EXP 	text_item: height = 0.05
31.7282 	EXP 	text_item: height = 0.05
31.7282 	EXP 	text_item: height = 0.05
31.7282 	EXP 	text_item: text = "“La vacuna contra el COVID-19 modifica la estructura molecular de tu ADN”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
31.7282 	EXP 	text_item: autoDraw = True
32.2153 	DATA 	Keypress: a
33.7170 	DATA 	Keypress: q
33.7219 	EXP 	text_item: autoDraw = False
33.7219 	EXP 	text_2: autoDraw = True
34.2240 	EXP 	text_2: autoDraw = False
34.2240 	EXP 	textInput: autoDraw = True
34.2240 	EXP 	textPrompt: autoDraw = True
34.5546 	DATA 	Keypress: 1
34.7045 	DATA 	Keypress: 4
34.8662 	DATA 	Keypress: 1
34.8867 	DATA 	Keypress: 2
35.0950 	DATA 	Keypress: 4
35.1236 	DATA 	Keypress: 1
35.1255 	DATA 	Keypress: 2
35.2980 	DATA 	Keypress: 2
35.3000 	DATA 	Keypress: 4
35.3146 	DATA 	Keypress: 1
35.4969 	DATA 	Keypress: return
35.5014 	EXP 	textInput: autoDraw = False
35.5014 	EXP 	textPrompt: autoDraw = False
35.5014 	EXP 	text_2: autoDraw = True
35.9935 	EXP 	New trial (rep=4, index=0): None
36.0125 	EXP 	text_2: autoDraw = False
36.0125 	EXP 	text_2: autoDraw = False
36.0125 	EXP 	text_number_a: height = 0.05
36.0125 	EXP 	text_number_a: height = 0.05
36.0125 	EXP 	text_number_a: height = 0.05
36.0125 	EXP 	text_number_a: text = 'Recuerda este número: 29563 \n \n Presiona ENTER para continuar.'
36.0125 	EXP 	text_number_a: autoDraw = True
36.7036 	DATA 	Keypress: return
36.7083 	EXP 	text_number_a: autoDraw = False
36.7083 	EXP 	text_item: height = 0.05
36.7083 	EXP 	text_item: height = 0.05
36.7083 	EXP 	text_item: height = 0.05
36.7083 	EXP 	text_item: text = "“Los vacunados contra el COVID-19 no pueden donar sangre ni órganos”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
36.7083 	EXP 	text_item: autoDraw = True
37.8020 	DATA 	Keypress: q
37.8223 	EXP 	text_item: autoDraw = False
37.8223 	EXP 	text_2: autoDraw = True
38.3311 	EXP 	text_2: autoDraw = False
38.3311 	EXP 	text_2: autoDraw = False
38.3311 	EXP 	textInput: autoDraw = True
38.3311 	EXP 	textPrompt: autoDraw = True
38.9496 	DATA 	Keypress: return
39.6905 	DATA 	Keypress: 1
39.7253 	DATA 	Keypress: 2
39.7860 	DATA 	Keypress: 3
40.0688 	DATA 	Keypress: 1
40.1488 	DATA 	Keypress: 2
40.1718 	DATA 	Keypress: 4
40.6155 	DATA 	Keypress: return
40.6201 	EXP 	textInput: autoDraw = False
40.6201 	EXP 	textPrompt: autoDraw = False
40.6201 	EXP 	text_2: autoDraw = True
41.1102 	EXP 	New trial (rep=5, index=0): None
41.1295 	EXP 	text_2: autoDraw = False
41.1295 	EXP 	text_2: autoDraw = False
41.1295 	EXP 	text_number_a: height = 0.05
41.1295 	EXP 	text_number_a: height = 0.05
41.1295 	EXP 	text_number_a: height = 0.05
41.1295 	EXP 	text_number_a: text = 'Recuerda este número: 64531 \n \n Presiona ENTER para continuar.'
41.1295 	EXP 	text_number_a: autoDraw = True
41.8929 	DATA 	Keypress: return
41.9316 	EXP 	text_number_a: autoDraw = False
41.9316 	EXP 	text_item: height = 0.05
41.9316 	EXP 	text_item: height = 0.05
41.9316 	EXP 	text_item: height = 0.05
41.9316 	EXP 	text_item: text = "“La luz de los termómetros para corporales puede lastimar la vista”. \n \n Presiona 'q' para responder verdadero o 'p' para responder falso."
41.9316 	EXP 	text_item: autoDraw = True
42.9321 	DATA 	Keypress: q
42.9549 	EXP 	text_item: autoDraw = False
42.9549 	EXP 	text_2: autoDraw = True
43.4589 	EXP 	text_2: autoDraw = False
43.4589 	EXP 	textInput: autoDraw = True
43.4589 	EXP 	textPrompt: autoDraw = True
43.9559 	DATA 	Keypress: 2
43.9771 	DATA 	Keypress: 1
43.9793 	DATA 	Keypress: 3
44.2188 	DATA 	Keypress: 3
44.2697 	DATA 	Keypress: 2
44.2717 	DATA 	Keypress: 1
44.4204 	DATA 	Keypress: 3
44.5523 	DATA 	Keypress: 1
44.5686 	DATA 	Keypress: 2
44.7024 	DATA 	Keypress: 3
44.8627 	DATA 	Keypress: return
44.8826 	EXP 	textInput: autoDraw = False
44.8826 	EXP 	textPrompt: autoDraw = False
44.8826 	EXP 	text_2: autoDraw = True
45.3740 	EXP 	New trial (rep=6, index=0): None
45.3940 	EXP 	text_2: autoDraw = False
45.3940 	EXP 	text_2: autoDraw = False
45.3940 	EXP 	text_number_a: height = 0.05
45.3940 	EXP 	text_number_a: height = 0.05
45.3940 	EXP 	text_number_a: height = 0.05
45.3940 	EXP 	text_number_a: text = 'Recuerda este número: 75946 \n \n Presiona ENTER para continuar.'
45.3940 	EXP 	text_number_a: autoDraw = True
46.1043 	DATA 	Keypress: return
46.1091 	EXP 	text_number_a: autoDraw = False
46.1091 	EXP 	text_item: height = 0.05
46.1091 	EXP 	text_item: height = 0.05
46.1091 	EXP 	text_item: height = 0.05
